Name,lambdas,dmean,prn,enL,enR,pg,n,sn,sl,li,ls,acL,acR,cphL,cphR,chR,chL,aR,aL,exL,exR
kendall6_2,0.02,2.211501807,2.064,2.172,2.193,2.093,1.962,1.524,1.948,1.982,1.800,2.152,2.058,2.487,2.010,2.703,2.853,2.313,2.434,3.628,4.464
kendall6_5,0.1,2.157344475,2.058,2.290,2.057,2.021,1.803,1.366,2.173,1.953,1.788,2.067,1.952,2.214,1.972,2.661,2.786,2.401,2.429,3.857,4.574
kendall6,0.2,1.812552238,2.064,2.172,2.193,2.093,1.962,1.524,1.948,1.982,1.800,2.152,2.058,2.487,2.010,2.703,2.853,2.313,2.434,3.628,4.464
kendall6_3,0.4,2.691204963,3.205,2.753,2.823,3.210,2.451,1.811,2.916,2.858,2.099,2.400,2.276,2.443,2.189,3.179,2.979,2.781,2.493,4.394,5.387
kendall6_1,0.8,2.732839883,2.978,3.036,2.690,3.215,2.339,1.552,2.916,2.858,2.335,2.766,3.140,2.204,2.387,3.162,2.724,2.573,2.736,4.939,5.673
kendall6_4,1,2.550400266,3.719,2.828,2.351,2.126,1.919,2.044,1.914,1.939,2.203,2.175,2.208,2.449,2.136,3.225,3.141,2.490,2.311,4.463,5.736
